episode_name_number,episode,imdb_rating,season,season_ep_name
S10.E6 ∙ The One with Ross' Grant,6,8,10,S10.E6: The One with Ross' Grant
S10.E7 ∙ The One with the Home Study,7,8.1,10,S10.E7: The One with the Home Study
S10.E8 ∙ The One with the Late Thanksgiving,8,8.8,10,S10.E8: The One with the Late Thanksgiving
S10.E9 ∙ The One with the Birth Mother,9,8.4,10,S10.E9: The One with the Birth Mother
S10.E10 ∙ The One Where Chandler Gets Caught,10,7.8,10,S10.E10: The One Where Chandler Gets Caught
S10.E11 ∙ The One Where the Stripper Cries,11,8.9,10,S10.E11: The One Where the Stripper Cries
S10.E12 ∙ The One with Phoebe's Wedding,12,8.8,10,S10.E12: The One with Phoebe's Wedding
S10.E13 ∙ The One Where Joey Speaks French,13,8.3,10,S10.E13: The One Where Joey Speaks French
S10.E14 ∙ The One with Princess Consuela,14,8.4,10,S10.E14: The One with Princess Consuela
S10.E15 ∙ The One Where Estelle Dies,15,8.4,10,S10.E15: The One Where Estelle Dies
S10.E16 ∙ The One with Rachel's Going Away Party,16,8.8,10,S10.E16: The One with Rachel's Going Away Party
S10.E17 ∙ The Last One: Part 1,17,9.6,10,S10.E17: The Last One: Part 1
S10.E18 ∙ The Last One: Part 2,18,9.3,10,S10.E18: The Last One: Part 2
