fips,state_alpha,countyname,areaname,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
06039,NA,Madera County,NA,1055,1062,1376,1914,2275
06041,NA,Marin County,NA,2485,2977,3604,4604,4772
06043,NA,Mariposa County,NA,1016,1148,1454,2022,2439
06045,NA,Mendocino County,NA,1269,1306,1713,2382,2789
06047,NA,Merced County,NA,1116,1213,1503,2067,2503
06049,NA,Modoc County,NA,774,883,1108,1434,1831
06051,NA,Mono County,NA,1171,1528,1675,2330,2769
06053,NA,Monterey County,NA,2173,2232,2684,3623,3945
06055,NA,Napa County,NA,1912,2113,2773,3532,4134
06057,NA,Nevada County,NA,1373,1382,1813,2521,3041
06059,NA,Orange County,NA,2682,2746,3236,4393,5246
06061,NA,Placer County,NA,1748,1832,2255,3002,3460
06063,NA,Plumas County,NA,973,1075,1411,1962,1995
06065,NA,Riverside County,NA,1692,1777,2201,2912,3514
06067,NA,Sacramento County,NA,1748,1832,2255,3002,3460
06069,NA,San Benito County,NA,2205,2212,2902,3944,4190
06071,NA,San Bernardino County,NA,1692,1777,2201,2912,3514
06073,NA,San Diego County,NA,2288,2459,3001,3998,4845
06075,NA,San Francisco County,NA,2485,2977,3604,4604,4772
06077,NA,San Joaquin County,NA,1288,1395,1742,2423,2922
06079,NA,San Luis Obispo County,NA,1732,1914,2512,3370,3861
06081,NA,San Mateo County,NA,2485,2977,3604,4604,4772
06083,NA,Santa Barbara County,NA,2459,2746,3124,4075,4647
06085,NA,Santa Clara County,NA,2621,2982,3483,4602,5010
06087,NA,Santa Cruz County,NA,3179,3298,4214,5377,5659
06089,NA,Shasta County,NA,1172,1212,1590,2211,2667
06091,NA,Sierra County,NA,1068,1165,1529,2126,2527
06093,NA,Siskiyou County,NA,962,969,1249,1737,1915
06095,NA,Solano County,NA,1567,1705,2178,2911,3297
06097,NA,Sonoma County,NA,1949,2155,2827,3887,4147
06099,NA,Stanislaus County,NA,1255,1356,1758,2442,2823
06101,NA,Sutter County,NA,1166,1272,1550,2156,2600
06103,NA,Tehama County,NA,952,1038,1362,1865,2285
06105,NA,Trinity County,NA,829,916,1202,1636,1655
06107,NA,Tulare County,NA,1116,1123,1474,2028,2393
06109,NA,Tuolumne County,NA,1096,1257,1589,2078,2666
06111,NA,Ventura County,NA,1998,2250,2693,3652,4240
06113,NA,Yolo County,NA,1604,1615,2104,2917,3178
06115,NA,Yuba County,NA,1166,1272,1550,2156,2600
