year,title,id,nominees_or_winner,imdb_url,producers
2014,Dallas Buyers Club,tt0790636,nominee,https://www.imdb.com/title/tt0790636/,Truth Entertainment|Voltage Pictures|r2 films|Evolution Independent|CE
2014,Gravity,tt1454468,nominee,https://www.imdb.com/title/tt1454468/,Warner Bros.|Esperanto Filmoj|Heyday Films
2014,Her,tt1798709,nominee,https://www.imdb.com/title/tt1798709/,Annapurna Pictures|Stage 6 Films
2013,Argo,tt1024648,winner,https://www.imdb.com/title/tt1024648/,Warner Bros.|GK Films|Smokehouse Pictures
2013,Amour,tt1602620,nominee,https://www.imdb.com/title/tt1602620/,Les Films du Losange|X-Filme Creative Pool|Wega Film|France 3 Cinéma|ARD Degeto Film
2013,Beasts of the Southern Wild,tt2125435,nominee,https://www.imdb.com/title/tt2125435/,Cinereach|Department of Motion Pictures|Court 13 Pictures|Journeyman Pictures
2013,Django Unchained,tt1853728,nominee,https://www.imdb.com/title/tt1853728/,The Weinstein Company|Columbia Pictures|Visiona Romantica
2013,Les Misérables,tt1707386,nominee,https://www.imdb.com/title/tt1707386/,Universal Pictures|Working Title Films|Cameron Mackintosh Ltd.|Relativity Media
2013,Life of Pi,tt0454876,nominee,https://www.imdb.com/title/tt0454876/,Fox 2000 Pictures|Dune Entertainment|Ingenious Media|Haishang Films|Netter Productions
2013,Lincoln,tt0443272,nominee,https://www.imdb.com/title/tt0443272/,DreamWorks Pictures|Twentieth Century Fox|Reliance Entertainment|Participant|Dune Entertainment
2013,Silver Linings Playbook,tt1045658,nominee,https://www.imdb.com/title/tt1045658/,The Weinstein Company
2013,Zero Dark Thirty,tt1790885,nominee,https://www.imdb.com/title/tt1790885/,Columbia Pictures|Annapurna Pictures|First Light Production
2012,The Artist,tt1655442,winner,https://www.imdb.com/title/tt1655442/,Studio 37|La Petite Reine|La Classe Américaine|JD Prod|France 3 Cinéma
2012,The Tree of Life,tt0478304,nominee,https://www.imdb.com/title/tt0478304/,Cottonwood Pictures|River Road Entertainment|Fox Searchlight Pictures|Brace Cove Productions|Plan B Entertainment
2012,The Descendants,tt1033575,nominee,https://www.imdb.com/title/tt1033575/,Fox Searchlight Pictures|Ad Hominem Enterprises|Dune Entertainment
2012,Extremely Loud & Incredibly Close,tt0477302,nominee,https://www.imdb.com/title/tt0477302/,Warner Bros.|Scott Rudin Productions|Paramount Pictures
2012,The Help,tt1454029,nominee,https://www.imdb.com/title/tt1454029/,DreamWorks Pictures|Reliance Film & Entertainment|Participant|Imagenation|1492 Pictures
2012,Hugo,tt0970179,nominee,https://www.imdb.com/title/tt0970179/,Paramount Pictures|GK Films|Infinitum Nihil|Janimation
2012,Midnight in Paris,tt1605783,nominee,https://www.imdb.com/title/tt1605783/,Mediapro|Versátil Cinema|Gravier Productions|Pontchartrain Productions|Televisió de Catalunya
2012,Moneyball,tt1210166,nominee,https://www.imdb.com/title/tt1210166/,Columbia Pictures|Scott Rudin Productions|Michael De Luca Productions|Film Rites|Sidney Kimmel Entertainment
2012,War Horse,tt1568911,nominee,https://www.imdb.com/title/tt1568911/,DreamWorks Pictures|Touchstone Pictures|Reliance Entertainment|Amblin Entertainment|The Kennedy/Marshall Company
2011,The King's Speech,tt1504320,winner,https://www.imdb.com/title/tt1504320/,See-Saw Films|The Weinstein Company|UK Film Council|Momentum Pictures|Aegis Film Fund
2011,127 Hours,tt1542344,nominee,https://www.imdb.com/title/tt1542344/,Searchlight Pictures|Pathé|Everest Entertainment|Cloud Eight Films|Decibel Films
2011,Black Swan,tt0947798,nominee,https://www.imdb.com/title/tt0947798/,Searchlight Pictures|Cross Creek Pictures|Protozoa Pictures|Phoenix Pictures|Dune Entertainment
2011,The Fighter,tt0964517,nominee,https://www.imdb.com/title/tt0964517/,Closest to the Hole Productions|Fighter|Mandeville Films|Relativity Media|The Park Entertainment
2011,Inception,tt1375666,nominee,https://www.imdb.com/title/tt1375666/,Warner Bros.|Legendary Pictures|Syncopy|Legendary Entertainment
2011,The Kids Are All Right,tt0842926,nominee,https://www.imdb.com/title/tt0842926/,Focus Features|Gilbert Films|Saint Aire Production|10th Hole Productions|Antidote Films
2011,The Social Network,tt1285016,nominee,https://www.imdb.com/title/tt1285016/,Columbia Pictures|Relativity Media|Scott Rudin Productions|Michael De Luca Productions|Trigger Street Productions
2011,Toy Story 3,tt0435761,nominee,https://www.imdb.com/title/tt0435761/,Walt Disney Pictures|Pixar Animation Studios
2011,True Grit,tt1403865,nominee,https://www.imdb.com/title/tt1403865/,Paramount Pictures|Skydance Media|Scott Rudin Productions|Mike Zoss Productions
2011,Winter's Bone,tt1399683,nominee,https://www.imdb.com/title/tt1399683/,Anonymous Content|Winter's Bone Productions
2010,The Hurt Locker,tt0887912,winner,https://www.imdb.com/title/tt0887912/,Voltage Pictures|Grosvenor Park Media|Film Capital Europe Funds|First Light Production|Kingsgate Films
2010,A Serious Man,tt1019452,nominee,https://www.imdb.com/title/tt1019452/,Focus Features|StudioCanal|Relativity Media|Mike Zoss Productions|Working Title Films
2010,An Education,tt1174732,nominee,https://www.imdb.com/title/tt1174732/,BBC Film|Finola Dwyer Productions|Wildgaze Films|Endgame Entertainment|An Education Distribution
