rank,title,director,year,imdb_rating,id,site,producer_site,audience_scores,tomato_meter_scores,director_rot_tom,distributor,production_co,produced_by,producers_imdb,production_company
163,Dial M for Murder,Alfred Hitchcock,1954,8.2,tt0046912,https://www.imdb.com/title/tt0046912/,https://www.imdb.com/title/tt0046912/companycredits?ref_=ttfc_sa_3,92,90,Alfred Hitchcock,Warner Bros.|Warner Bros. Finland|Warner Bros. Pictures Germany|Warner Bros. Pictures Mexico|Warner Bros. Pictures,Warner Bros.,Warner Bros.|Warner Bros. Finland|Warner Bros. Pictures Germany|Warner Bros. Pictures Mexico|Warner Bros. Pictures,Alfred Hitchcock,Warner Bros.
164,Gone with the Wind,Victor Fleming,1940,8.2,tt0031381,https://www.imdb.com/title/tt0031381/,https://www.imdb.com/title/tt0031381/companycredits?ref_=ttfc_sa_3,92,90,Victor Fleming,Metro-Goldwyn-Mayer (MGM)|Metro Goldwyn Mayer,Selznick International Pictures|Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM)|Metro Goldwyn Mayer,David O. Selznick,Selznick International Pictures|Metro-Goldwyn-Mayer (MGM)
165,The Secret in Their Eyes,Juan José Campanella,2010,8.2,tt1305806,https://www.imdb.com/title/tt1305806/,https://www.imdb.com/title/tt1305806/companycredits?ref_=ttfc_sa_3,93,89,Juan José Campanella,Alta Classics|Camino Filmverleih|Distribution Company|Epelpol Distribution|Filmtrade,Tornasol Films|Haddock Films|100 Bares|Televisión Federal (Telefe)|Televisión Española (TVE),Alta Classics|Camino Filmverleih|Distribution Company|Epelpol Distribution|Filmtrade,Daniela Alvarado|Mariela Besuievsky|Juan José Campanella|Gerardo Herrero|Guillermo Imsteyf|Axel Kuschevatzky|Federico Posternak|Vanessa Ragone,Tornasol Films|Haddock Films|100 Bares|Televisión Federal (Telefe)|Televisión Española (TVE)
166,Demon Slayer: Kimetsu no Yaiba Infinity Castle,Haruo Sotozaki,2025,8.4,tt32820897,https://www.imdb.com/title/tt32820897/,https://www.imdb.com/title/tt32820897/companycredits?ref_=ttfc_sa_3,98,98,Haruo Sotozaki,Crunchyroll|Toho|Aniplex|Aniplex of America|Big Picture 2 Films,Aniplex|Crunchyroll|Shueisha|Sony Pictures Releasing|Toho Pictures,Crunchyroll|Toho|Aniplex|Aniplex of America|Big Picture 2 Films,Akifumi Fujio|Masanori Miyake|Yûma Takahashi,Aniplex|Crunchyroll|Shueisha|Sony Pictures Releasing|Toho Pictures
167,Chinatown,Roman Polanski,1974,8.1,tt0071315,https://www.imdb.com/title/tt0071315/,https://www.imdb.com/title/tt0071315/companycredits?ref_=ttfc_sa_3,93,98,Roman Polanski,Paramount Pictures|Cinema International Corporation (CIC),Paramount Pictures|Penthouse Video|Long Road Productions|Robert Evans Company,Paramount Pictures|Cinema International Corporation (CIC),C.O. Erickson|Robert Evans,Paramount Pictures|Penthouse Video|Long Road Productions|Robert Evans Company
168,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,1998,8.1,tt0120735,https://www.imdb.com/title/tt0120735/,https://www.imdb.com/title/tt0120735/companycredits?ref_=ttfc_sa_3,93,75,Guy Ritchie,Polygram Filmed Entertainment|Becker Entertainment|PolyGram Film Distribution|PolyGram Filmed Entertainment Distribution|PolyGram Filmed Entertainment,The Steve Tisch Company|SKA Films,Polygram Filmed Entertainment|Becker Entertainment|PolyGram Film Distribution|PolyGram Filmed Entertainment Distribution|PolyGram Filmed Entertainment,Stephen Marks|Georgia Masters|Peter Morton|Angad Paul|Sebastian Pearson|Trudie Styler|Steve Tisch|Ronaldo Vasconcellos|Matthew Vaughn|Jan Roldanus|Jon Slan,The Steve Tisch Company|SKA Films
169,V for Vendetta,James McTeigue,2006,8.1,tt0434409,https://www.imdb.com/title/tt0434409/,https://www.imdb.com/title/tt0434409/companycredits?ref_=ttfc_sa_3,90,73,James McTeigue,Fox-Warner|Karo Premiere|Sandrew Metronome Distribution Sverige AB|Sandrew Metronome Distribution|Warner Bros. Entertainment,Warner Bros.|Virtual Studios|Silver Pictures|Anarchos Productions,Fox-Warner|Karo Premiere|Sandrew Metronome Distribution Sverige AB|Sandrew Metronome Distribution|Warner Bros. Entertainment,Jessica Alan|Grant Hill|Roberto Malerba|Henning Molfenter|Lorne Orleans|Joel Silver|Lana Wachowski|Lilly Wachowski|Ben Waisbren|Charlie Woebcken,Warner Bros.|Virtual Studios|Silver Pictures|Anarchos Productions
170,Inside Out,Pete Docter,2015,8.1,tt2096673,https://www.imdb.com/title/tt2096673/,https://www.imdb.com/title/tt2096673/companycredits?ref_=ttfc_sa_3,89,98,Pete Docter,Walt Disney Studios Motion Pictures|Cinecolor Films|Columbia Pictures of Philippines,Walt Disney Pictures|Pixar Animation Studios,Walt Disney Studios Motion Pictures|Cinecolor Films|Columbia Pictures of Philippines,John Lasseter|Mark Nielsen|Jonas Rivera|Andrew Stanton,Walt Disney Pictures|Pixar Animation Studios
171,Rashomon,Akira Kurosawa,1951,8.1,tt0042876,https://www.imdb.com/title/tt0042876/,https://www.imdb.com/title/tt0042876/companycredits?ref_=ttfc_sa_3,93,98,Akira Kurosawa,Daiei|RKO Radio Pictures|Allianz Filmverleih|CEI Incom|Filmsonor,Daiei,Daiei|RKO Radio Pictures|Allianz Filmverleih|CEI Incom|Filmsonor,Minoru Jingo|Masaichi Nagata,Daiei
172,Catch Me If You Can,Steven Spielberg,2002,8.1,tt0264464,https://www.imdb.com/title/tt0264464/,https://www.imdb.com/title/tt0264464/companycredits?ref_=ttfc_sa_3,89,96,Steven Spielberg,DreamWorks Distribution|United International Pictures (UIP)|Bontonfilm|East West|Paramount Films of India,DreamWorks Pictures|Kemp Company|Splendid Pictures|Parkes/MacDonald Image Nation|Amblin Entertainment,DreamWorks Distribution|United International Pictures (UIP)|Bontonfilm|East West|Paramount Films of India,Barry Kemp|Daniel Lupi|Laurie MacDonald|Sergio Mimica-Gezzan|Devorah Moos-Hankin|Walter F. Parkes|Anthony Romano|Michel Shane|Steven Spielberg,DreamWorks Pictures|Kemp Company|Splendid Pictures|Parkes/MacDonald Image Nation|Amblin Entertainment
173,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,2017,8.1,tt5027774,https://www.imdb.com/title/tt5027774/,https://www.imdb.com/title/tt5027774/companycredits?ref_=ttfc_sa_3,87,90,Martin McDonagh,Fox Searchlight Pictures|Twentieth Century Fox|KVH Media Group,Blueprint Pictures|Film4|Searchlight Pictures,Fox Searchlight Pictures|Twentieth Century Fox|KVH Media Group,Daniel Battsek|Graham Broadbent|Peter Czernin|Rose Garnett|Ben Knight|David Kosse|Martin McDonagh|Diarmuid McKeown|Bergen Swanson,Blueprint Pictures|Film4|Searchlight Pictures
174,Trainspotting,Danny Boyle,1996,8.1,tt0117951,https://www.imdb.com/title/tt0117951/,https://www.imdb.com/title/tt0117951/companycredits?ref_=ttfc_sa_3,93,90,Danny Boyle,Polygram Filmed Entertainment|Becker Entertainment|Finnkino|Intersonic|Medusa Distribuzione,Channel Four Films|Figment Films|The Noel Gay Motion Picture Company,Polygram Filmed Entertainment|Becker Entertainment|Finnkino|Intersonic|Medusa Distribuzione,Andrew Macdonald,Channel Four Films|Figment Films|The Noel Gay Motion Picture Company
175,The Bridge on the River Kwai,David Lean,1957,8.1,tt0050212,https://www.imdb.com/title/tt0050212/,https://www.imdb.com/title/tt0050212/companycredits?ref_=ttfc_sa_3,93,96,David Lean,Columbia Pictures|Columbia Films of India|Columbia C.E.I.A.D.|Columbia Film-Verleih,Horizon Pictures (II),Columbia Pictures|Columbia Films of India|Columbia C.E.I.A.D.|Columbia Film-Verleih,Sam Spiegel,Horizon Pictures (II)
176,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,8.1,tt1201607,https://www.imdb.com/title/tt1201607/,https://www.imdb.com/title/tt1201607/companycredits?ref_=ttfc_sa_3,89,96,David Yates,Warner Bros.|AcmeFilm|Columbia TriStar Warner Filmes de Portugal|FS Film|Panorama Studios,Warner Bros.|Heyday Films,Warner Bros.|AcmeFilm|Columbia TriStar Warner Filmes de Portugal|FS Film|Panorama Studios,David Barron|Debbi Bossi|Roy Button|David Heyman|Tim Lewis|J.K. Rowling|John Trehy|Lionel Wigram,Warner Bros.|Heyday Films
177,Dead Poets Society,Peter Weir,1989,8.1,tt0097165,https://www.imdb.com/title/tt0097165/,https://www.imdb.com/title/tt0097165/companycredits?ref_=ttfc_sa_3,92,85,Peter Weir,Buena Vista Pictures Distribution|Warner Bros. Pictures|Warner Bros. Film|Warner Bros. Pictures Germany|Warner Bros. Pictures Mexico,Touchstone Pictures|Silver Screen Partners IV|A Steven Haft Production|Witt/Thomas Productions,Buena Vista Pictures Distribution|Warner Bros. Pictures|Warner Bros. Film|Warner Bros. Pictures Germany|Warner Bros. Pictures Mexico,Steven Haft|Duncan Henderson|Paul Junger Witt|Tony Thomas,Touchstone Pictures|Silver Screen Partners IV|A Steven Haft Production|Witt/Thomas Productions
178,Fargo,Joel Coen,1996,8.1,tt0116282,https://www.imdb.com/title/tt0116282/,https://www.imdb.com/title/tt0116282/companycredits?ref_=ttfc_sa_3,92,94,Joel Coen,Gramercy Pictures (I)|Alliance|Ascot Elite Entertainment Group|Concorde-Castle Rock/Turner|PolyGram Film Distribution,Polygram Filmed Entertainment|Working Title Films,Gramercy Pictures (I)|Alliance|Ascot Elite Entertainment Group|Concorde-Castle Rock/Turner|PolyGram Film Distribution,Tim Bevan|John Cameron|Ethan Coen|Eric Fellner|Joel Coen,Polygram Filmed Entertainment|Working Title Films
